text,wordcount
u know ppl wont say anything if yall arent on top and a joke is a form of compliment yall are rockin it  keep it up,26
and i think you are gonna have some much fun at samps tour round ii  i wish i could go to europe to attend one show,26
no matter what mood u may be in u should never feel like quotgodquot doesnt fit in talk  god as u would ur friends use god as ur shrink,29
i am worried for my kitty she is at the vet having emergency surgery  he thinks that it is some sort of infection in her uterus,26
man my email i need it twitter is the only internet thing im using and thats cause i can use it from my phone  i need utube,27
what a night one of jeffs custom tires blew before we saw dane cook a really nice guy drove three of us home still waiting for jeff,27
i literally havent seen my dad all day  he left to go to work before i got up and still isnt back yayy breakfast for dinner my fav,28
i asked a yr old how old i was amp he said quot like mequot which was proceeded by quotlook at my belly fatquot cleveland zoo will be fun today,30
was just quotwitnessed toquot for over an hour  in the process the guy gave me his whole life story and asked for prayer  never converted me,26
im on the way to wilmington im going to lay on the beach and get a tan im too pale  i dont got no damn gut  ok lil,28
gl homer my date was june st it has been tough for me at this point im not happy with the surgery but im the problem,26
has had  hours sleep and is having to work  hours today not good i jus wana snack on hob nobs all day but thts nt gna happen,27
headache from hell made for little sleep and me not getting to go to mombacho  hopefully a quiet day in the hotel drinking tea will help,26
are any of you familiar with linux netbooks amp can help me fix ours its an acer aspire one zg running linpus that reboots during bootup,26
i know its depressing it was still a fun trip my friend just broke up w her bf so she wanted  get away for the night,26
i detest the fact that bgt and susan boyle made top spot on the news earlier today especially before the air france plane and gm demise,26
i was hoping for a tweet from u before i go to sleep  hope u had a great day amp it sucks about all the rain,26
well sooner u get out the better then u can be around wee cats n dogs n stuff all day   ufft  do what on purpose   almost there,27
i get to see it for free astir the theater i work at yay thats one of the things i like being a manager at a movie theater,28
im back  l wth district delegation underdog tshirt on not cuz its all i brought but because i am the underdog here amp i like it,26
good morn all i hope your day is better than mine  i am not looking forward to the aweful meeting i hv in bout an hour deep breaths,28
y didnt i wait to watch  w  instead of watching it by myself in my dark garage w my dad snoring b i go to bed ahh,27
oh i love the dd command  needed it for the  wii hack my pqi sdhc seems to not be compatible with anything i wanted to do,26
exactly its a rip off in my opinion i mean now you have to pay even for the normal sc   that used to be for free,26
so this girl jess def a lot of fun to talk to  i think i may have found someone to keep me happy for awhiledonno yet,26
omg i know right we have everything figured out but a ride lol we always get so close to what we want for it not to work,27
cant inderstand why this happend to me and cant fix it hurt the one person i care for just hope we can work it out day by day,28
off out on such a lovely day taking the nipper out to a splash park and walk around a fun fair should be a good day with a picnic,29
ah but i dont have a dog in this fight policy of cheering whichever lot plays good cricket on the day  being v zen n all,26
lovely weather here oh no its pissing down  our planned bbq may not have been a good idea oh well time to fire up the cooker,26
going to work with my dad  good morning   oh and wtf im suppose to pay  for my cell a month and now i owe  fuckn ridicoulus,26
wanted to wish you all the best for  nyc concerts my beefam will be in the house i wish i could have made it  love you bey,27
well saturday has come amp gone amp i still dont have a speedlink post  u  ill try  lr nite got sum gr links amp new blogs to share,28
i ate so much fn bood it was really bad d it was good but soooo friggen expensive that stupid ass waitress can have my all my quarter,28
from time to time i think about what a great job i could have if i had quit this one two years ago and started looking    sigh,27
